epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.549,1.41973,4.8897,0,1.24919,1.39914,0.95143,0.84043,0.94435,0.68507,0.85412,0.75128,0.79341,0.44594,1.12477,2.56892,0,0.77716,1.20747,0.000666062,0.000666062,0.000666062
2,667.839,1.14742,2.61003,0,0.8716,1.18173,0.89245,0.87303,0.94611,0.70025,0.92543,0.74787,0.87713,0.65235,1.0633,1.66249,0,0.75217,1.17963,0.00127995,0.00127995,0.00127995
3,942.21,1.07799,2.07309,0,0.80394,1.13928,0.92935,0.91363,0.96802,0.73951,0.88359,0.87487,0.91825,0.73366,0.96397,1.20827,0,0.64402,1.14024,0.00184104,0.00184104,0.00184104
4,1216.3,0.98877,1.72334,0,0.72433,1.09253,0.95174,0.93674,0.98205,0.78405,0.93708,0.91931,0.94878,0.80329,0.8481,1.01269,0,0.58477,1.04748,0.0017624,0.0017624,0.0017624
5,1563.61,0.92577,1.51824,0,0.66363,1.05928,0.96187,0.95659,0.98871,0.79548,0.93183,0.93667,0.95676,0.83889,0.81994,0.87674,0,0.52772,1.04537,0.0016832,0.0016832,0.0016832
6,1910.69,0.88242,1.34865,0,0.63048,1.03757,0.97977,0.96987,0.99312,0.8114,0.9458,0.93412,0.95562,0.86813,0.78028,0.7809,0,0.49012,1.00806,0.001604,0.001604,0.001604
7,2257.87,0.84102,1.23847,0,0.59216,1.01911,0.97324,0.96584,0.99136,0.83432,0.95756,0.94489,0.96513,0.89607,0.73662,0.71454,0,0.45795,0.98045,0.0015248,0.0015248,0.0015248
8,2608.08,0.8134,1.15079,0,0.564,1.00534,0.98598,0.97906,0.9942,0.84729,0.96253,0.95774,0.97157,0.89685,0.699,0.65041,0,0.42196,0.96907,0.0014456,0.0014456,0.0014456
9,2915.99,0.78284,1.06309,0,0.54044,0.99202,0.99054,0.96308,0.99367,0.85118,0.96366,0.94794,0.97103,0.90935,0.68539,0.59893,0,0.42404,0.94382,0.0013664,0.0013664,0.0013664
10,3184.87,0.76222,0.99065,0,0.52164,0.98044,0.98819,0.98325,0.99411,0.86403,0.96409,0.95987,0.97183,0.91779,0.64356,0.58085,0,0.39309,0.92798,0.0012872,0.0012872,0.0012872
11,3514.94,0.74047,0.95594,0,0.50525,0.97035,0.99239,0.98008,0.99447,0.87549,0.9689,0.95761,0.97481,0.92654,0.61332,0.5366,0,0.37522,0.9103,0.001208,0.001208,0.001208
12,3839.21,0.72194,0.90244,0,0.48685,0.96285,0.99264,0.98927,0.99481,0.88072,0.97152,0.96834,0.97734,0.93654,0.58693,0.48793,0,0.35007,0.90702,0.0011288,0.0011288,0.0011288
13,4148.88,0.69681,0.86161,0,0.46683,0.95349,0.99719,0.98315,0.99468,0.88702,0.97406,0.96272,0.97809,0.93559,0.57222,0.49055,0,0.34486,0.89437,0.0010496,0.0010496,0.0010496
14,4414.35,0.68636,0.83406,0,0.45704,0.94933,0.99691,0.98959,0.99495,0.89114,0.97582,0.96868,0.97908,0.94201,0.57829,0.46802,0,0.33657,0.89558,0.0009704,0.0009704,0.0009704
15,4684.06,0.66192,0.7785,0,0.44128,0.93925,0.99689,0.98979,0.99494,0.89951,0.97515,0.96834,0.97671,0.9434,0.54378,0.44332,0,0.31378,0.88128,0.0008912,0.0008912,0.0008912
16,4952.92,0.59675,0.54951,0,0.36256,0.91292,0.99458,0.98825,0.99486,0.90695,0.97498,0.96629,0.98126,0.95519,0.52701,0.42073,0,0.31871,0.87169,0.000812,0.000812,0.000812
17,5220.67,0.56092,0.4872,0,0.34096,0.89364,0.99692,0.99078,0.99496,0.9154,0.97519,0.96936,0.98098,0.95896,0.50781,0.41304,0,0.29836,0.86879,0.0007328,0.0007328,0.0007328
18,5485.8,0.53359,0.46993,0,0.32081,0.88332,0.99829,0.99336,0.99499,0.92701,0.97768,0.97293,0.98294,0.96368,0.48064,0.39295,0,0.27701,0.85653,0.0006536,0.0006536,0.0006536
19,5754.27,0.51234,0.44448,0,0.30642,0.87551,0.99473,0.99336,0.99496,0.9282,0.97331,0.97191,0.98208,0.96349,0.46278,0.37691,0,0.26777,0.85222,0.0005744,0.0005744,0.0005744
20,6020.47,0.48824,0.42393,0,0.29076,0.86436,0.99795,0.9925,0.99498,0.93396,0.97792,0.97287,0.98475,0.96689,0.45042,0.37437,0,0.25661,0.84747,0.0004952,0.0004952,0.0004952
21,6284.55,0.4683,0.40312,0,0.28008,0.85561,0.99903,0.99234,0.99499,0.93263,0.97898,0.97242,0.98562,0.96863,0.45151,0.36432,0,0.25532,0.84667,0.000416,0.000416,0.000416
22,6552.13,0.4509,0.38746,0,0.26716,0.85046,0.99846,0.99222,0.99496,0.93996,0.97842,0.97232,0.98423,0.96792,0.42497,0.35645,0,0.24028,0.83834,0.0003368,0.0003368,0.0003368
23,6816.03,0.43187,0.37293,0,0.25676,0.84333,0.99904,0.99336,0.99499,0.94571,0.979,0.97344,0.98583,0.97128,0.40983,0.34808,0,0.23169,0.8345,0.0002576,0.0002576,0.0002576
24,7079.96,0.41347,0.36423,0,0.24523,0.83974,0.99905,0.99336,0.99499,0.9454,0.97849,0.97293,0.98461,0.97169,0.40767,0.34398,0,0.23082,0.83401,0.0001784,0.0001784,0.0001784
